Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_80230dc,FUN_080230dc,,,,,,,,,,,,,,,
,,sub_80230e0,FUN_080230e0,,,,,,,,,,,,,,,
,,sub_80230fc,FUN_080230fc,,,,,,,,,,,,,,,
,,sub_8023124,FUN_08023124,,,,,,,,,,,,,,,
,,sub_8023180,FUN_08023180,,,,,,,,,,,,,,,
,,sub_80231ca,,,,,,,,,,,,,,,,
,,sub_80231dc,,,,,,,,,,,,,,,,
,,sub_80231e8,FUN_080231e8,,,,,,,,,,,,,,,
,,sub_8023208,FUN_08023208,,,,,,,,,,,,,,,
,,sub_8023228,FUN_08023228,,,,,,,,,,,,,,,
,,sub_8023248,FUN_08023248,,,,,,,,,,,,,,,
,,sub_8023258,,,,,,,,,,,,,,,,
,,sub_8023268,FUN_08023268,,,,,,,,,,,,,,,
,,sub_8023288,FUN_08023288,,,,,,,,,,,,,,,
,,sub_80232ee,,,,,,,,,,,,,,,,
,,sub_80232f4,FUN_080232f4,,,,,,,,,,,,,,,
,,sub_80233d2,,,,,,,,,,,,,,,,
,,sub_80233d8,FUN_080233d8,,,,,,,,,,,,,,,
,,sub_802343e,,,,,,,,,,,,,,,,
,,sub_8023444,FUN_08023444,,,,,,,,,,,,,,,
,,sub_8023760,FUN_08023760,,,,,,,,,,,,,,,
,,sub_80237e4,,,,,,,,,,,,,,,,
,,sub_80237e8,FUN_080237e8,,,,,,,,,,,,,,,
,,sub_8023868,FUN_08023868,,,,,,,,,,,,,,,
,,sub_8023878,FUN_08023878,,,,,,,,,,,,,,,
,,sub_8023894,FUN_08023894,,,,,,,,,,,,,,,
,,sub_80238a8,FUN_080238a8,,,,,,,,,,,,,,,
,,sub_80239d8,FUN_080239d8,,,,,,,,,,,,,,,
,,sub_80239f8,FUN_080239f8,,,,,,,,,,,,,,,
,,sub_8023a08,FUN_08023a08,,,,,,,,,,,,,,,
,,sub_8023a18,FUN_08023a18,,,,,,,,,,,,,,,
,,sub_8023a28,FUN_08023a28,,,,,,,,,,,,,,,
,,sub_8023a38,FUN_08023a38,,,,,,,,,,,,,,,
,,sub_8023a48,FUN_08023a48,,,,,,,,,,,,,,,
,,sub_8023ad6,,,,,,,,,,,,,,,,
,,sub_8023ae4,FUN_08023ae4,,,,,,,,,,,,,,,
,,sub_8023af4,FUN_08023af4,,,,,,,,,,,,,,,
,,sub_8023b04,FUN_08023b04,,,,,,,,,,,,,,,
,,sub_8023b14,FUN_08023b14,,,,,,,,,,,,,,,
,,sub_8023b20,FUN_08023b20,,,,,,,,,,,,,,,
,,sub_8023b2c,FUN_08023b2c,,,,,,,,,,,,,,,
,,sub_8023b38,FUN_08023b38,,,,,,,,,,,,,,,
,,sub_8023b70,FUN_08023b70,,,,,,,,,,,,,,,
,,sub_8023b80,FUN_08023b80,,,,,,,,,,,,,,,
0x08023bf0,f sym.DMA1_Stream3_IRQHandler,sub_8023bf0,FUN_08023bf0,08023bf0,DMA1_Stream3_IRQHandler,f,,,,,,08023bf0,__kernel_rem_pio2,08023bf0,__kernel_rem_pio2,08023bf0,__kernel_rem_pio2,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/ti-cgt-arm_20.2.0.LTS/lib/rtsv7A8_T_le_n_v3_eabi.lib
,,sub_80259dc,,,,,,,,,,,,,,,,
,,sub_80269c2,,,,,,,,,,,,,,,,
,,sub_80277e8,,,,,,,,,,,,,,,,
